latin_form    , pn_type      , pn_gender, pn_person, pn_number, pn_case   , chapter
quid          , interrogative, neuter   , N/A      , singular , accusative,      15
quō           , interrogative, neuter   , N/A      , singular , ablative  ,      15
quae          , interrogative, neuter   , N/A      , plural   , nominative,      15
quōrum        , interrogative, neuter   , N/A      , plural   , genitive  ,      15
quibus        , interrogative, neuter   , N/A      , plural   , dative    ,      15
quae          , interrogative, neuter   , N/A      , plural   , accusative,      15
quibus        , interrogative, neuter   , N/A      , plural   , ablative  ,      15

hic           , demonstrative, masculine, N/A      , singular , nominative,      19
huius         , demonstrative, masculine, N/A      , singular , genitive  ,      19
huic          , demonstrative, masculine, N/A      , singular , dative    ,      19
hunc          , demonstrative, masculine, N/A      , singular , accusative,      19
hōc           , demonstrative, masculine, N/A      , singular , ablative  ,      19
hī            , demonstrative, masculine, N/A      , plural   , nominative,      19
hōrum         , demonstrative, masculine, N/A      , plural   , genitive  ,      19
hīs           , demonstrative, masculine, N/A      , plural   , dative    ,      19
hōs           , demonstrative, masculine, N/A      , plural   , accusative,      19
hīs           , demonstrative, masculine, N/A      , plural   , ablative  ,      19

haec          , demonstrative, feminine , N/A      , singular , nominative,      19
huius         , demonstrative, feminine , N/A      , singular , genitive  ,      19
huic          , demonstrative, feminine , N/A      , singular , dative    ,      19
hanc          , demonstrative, feminine , N/A      , singular , accusative,      19
hāc           , demonstrative, feminine , N/A      , singular , ablative  ,      19
hae           , demonstrative, feminine , N/A      , plural   , nominative,      19
hārum         , demonstrative, feminine , N/A      , plural   , genitive  ,      19
hīs           , demonstrative, feminine , N/A      , plural   , dative    ,      19
hās           , demonstrative, feminine , N/A      , plural   , accusative,      19
hīs           , demonstrative, feminine , N/A      , plural   , ablative  ,      19

hoc           , demonstrative, neuter   , N/A      , singular , nominative,      19
huius         , demonstrative, neuter   , N/A      , singular , genitive  ,      19
huic          , demonstrative, neuter   , N/A      , singular , dative    ,      19
hoc           , demonstrative, neuter   , N/A      , singular , accusative,      19
hōc           , demonstrative, neuter   , N/A      , singular , ablative  ,      19
haec          , demonstrative, neuter   , N/A      , plural   , nominative,      19
hōrum         , demonstrative, neuter   , N/A      , plural   , genitive  ,      19
hīs           , demonstrative, neuter   , N/A      , plural   , dative    ,      19
haec          , demonstrative, neuter   , N/A      , plural   , accusative,      19
hīs           , demonstrative, neuter   , N/A      , plural   , ablative  ,      19

ille          , demonstrative, masculine, N/A      , singular , nominative,      20
illīus        , demonstrative, masculine, N/A      , singular , genitive  ,      20
illī          , demonstrative, masculine, N/A      , singular , dative    ,      20
illum         , demonstrative, masculine, N/A      , singular , accusative,      20
illō          , demonstrative, masculine, N/A      , singular , ablative  ,      20
illī          , demonstrative, masculine, N/A      , plural   , nominative,      20
illōrum       , demonstrative, masculine, N/A      , plural   , genitive  ,      20
illīs         , demonstrative, masculine, N/A      , plural   , dative    ,      20
illōs         , demonstrative, masculine, N/A      , plural   , accusative,      20
illīs         , demonstrative, masculine, N/A      , plural   , ablative  ,      20

illa          , demonstrative, feminine , N/A      , singular , nominative,      20
illīus        , demonstrative, feminine , N/A      , singular , genitive  ,      20
illī          , demonstrative, feminine , N/A      , singular , dative    ,      20
illam         , demonstrative, feminine , N/A      , singular , accusative,      20
illā          , demonstrative, feminine , N/A      , singular , ablative  ,      20
illae         , demonstrative, feminine , N/A      , plural   , nominative,      20
illārum       , demonstrative, feminine , N/A      , plural   , genitive  ,      20
illīs         , demonstrative, feminine , N/A      , plural   , dative    ,      20
illās         , demonstrative, feminine , N/A      , plural   , accusative,      20
illīs         , demonstrative, feminine , N/A      , plural   , ablative  ,      20

illud         , demonstrative, neuter   , N/A      , singular , nominative,      20
illīus        , demonstrative, neuter   , N/A      , singular , genitive  ,      20
illī          , demonstrative, neuter   , N/A      , singular , dative    ,      20
illud         , demonstrative, neuter   , N/A      , singular , accusative,      20
illō          , demonstrative, neuter   , N/A      , singular , ablative  ,      20
illa          , demonstrative, neuter   , N/A      , plural   , nominative,      20
illōrum       , demonstrative, neuter   , N/A      , plural   , genitive  ,      20
illīs         , demonstrative, neuter   , N/A      , plural   , dative    ,      20
illa          , demonstrative, neuter   , N/A      , plural   , accusative,      20
illīs         , demonstrative, neuter   , N/A      , plural   , ablative  ,      20

sē            , reflexive    , N/A      , 3rd      , singular , accusative,       7
