latin_form,english_translation,chapter

aestimō ūnius assis,I do not care a bit,7

ōrātiōnem habēre,make a speech,9
sē gerit,s/he/it behaves,9

cōnsilia capere,make plans,10

bellum gerere,wage war,12
prō viribus,with all one's might,12

mēcum,with me,13
tēcum,with you (sg.),13
nihil,nothing,13
valē,goodbye,13

prō certō,"for certain, for sure",21
