first_sg_pres_act_ind,pres_act_inf,first_sg_prf_act_ind,prf_pass_ptcp,other_forms,english_translation,conjugation,chapter
pūniō,pūnīre,pūnīvī,pūnītum,,punish,4,20

accipiō,accipere,accēpī,acceptum,,"accept, receive",3io,21
accūsō,accūsāre,accūsāvī,accūsātum,,accuse ACC of GEN,1,21
dēscendō,dēscendere,dēscendī,dēscēnsum,,descend,3,21
ēripiō,ēripere,ēripuī,ēreptum,,snatch away,3io,21
errō,errāre,errāvī,errātum,,"wander, make a mistake",1,21
mūtō,mūtāre,mūtāvī,mūtātum,,change,1,21
possideō,possidēre,possēdī,possessum,,possess,2,21
recipiō,recipere,recēpī,receptum,,take back,3io,21
reprehendō,reprehendere,reprehendī,reprehēnsum,,"blame, rebuke",3,21
tollō,tollere,sustulī,sublātum,,"lift up, raise; destroy",3,21
versō,versāre,versāvī,versātum,,turn,1,21

aspiciō,aspicere,aspexī,aspectum,,"look at, catch a glimpse of",3io,22
gignō,gignere,genuī,genitum,,"produce, give birth",3,22
inveniō,invenīre,invēnī,inventum,,"come upon, find",4,22
occupō,occupāre,occupāvī,occupātum,,occupy,1,22
prōmittō,prōmittere,prōmīsī,prōmissum,,promise,3,22

sinō,sinere,sīvī,situm,,allow ACC to INF,3,23
valeō,valēre,valuī,--,,be in good health,2,23
