latin_form,english_translation,chapter

et,and,1
itaque,and so,1

autem,however,4
sed,but,4

nam,"for, in fact",5
nōn sōlum...sed etiam,not only...but also,5
tamen,however,5

dum,while,6

nec,"and not, nor",10

atque,and,13
enim,"for, in fact",13

igitur,therefore,16

cum,"when, after",18
sī,if,18

postquam,after,19

et...et,both...and,22

ut,as,23
vel,or,23
